Pub Key,area
2AR5AVGG,1.3637163055477843
2ARJBDQ8,0.20012996255120277
2DJYIF82,14.672378669746857
2HQXTLS6,16386.984711248417
2XDGW8V2,166633.5055083791
35MF78DP,1.3637163055477843
35V5TW6B,13.134933449599494
39PV5BL5,133.63584908370183
3Q3MUWTB,1257820.6263920788
3R65I8XW,8.070579385774282
42S2BQKV,3.9436204308670346
46MI564E,153.71344628311192
4FQSHSBF,12.237688806536807
4IQDTMM4,750.5163918710409
4N97ZMU9,
4NGVH92Z,928.956020563189
4ZVAVBQZ,16.452522834378033
5ER8DF4Z,177530.5163569511
5MLZ39V2,1.6805397712531882
5UI9RGTX,1943.2515135781205
5W2H2P54,7729.599687383181
69M5DZSF,346778.2554942397
69S6EE9C,239.26389015192004
6J9XIMI9,13.214593285417301
6W4S8VS5,
6YCLP6W5,131.4810262289184
6YYMSPRM,11262.301193443946
7BFYB2XH,18.19628167783385
7PV3VJZP,1.2757859532578617
7T8X95KY,0.9384930842710576
7TGQURPL,6.048185429074347
7URK9PG2,
83JZ9Q8V,9.80425771531397
87CUAK8B,80.34136925850468
89YP4S4S,18.19628167783385
8AWR2PHU,
8IDZABSN,1903750.5581607465
96JUIQK7,407.3717300411679
9SKMSD4Z,258.3608960072915
9USYID46,5.607691330667619
9WCWY7AK,52.43483041872129
A37E78PU,76.08640583461218
A8RIYP3A,114280.6273588747
AD7WLXMF,179.85845200466423
ANVHQVC3,
AXLJGWNE,218.19074918715907
AYRB3XCS,12.928042334026024
B5ILGT3L,9.65806577814864
B9WB4IEJ,1015.4107101179698
BQWUAZPY,24.318204620707974
BRUM54LP,96.32657436024768
BUHU8ZK4,4.45236873556254
C5WD2SYT,716.5018529060459
C97XPXE6,1453.2489502188353
CBLF77TD,85.70686739871275
CJDLGEZ6,18.930503508839323
CZ6H3CWC,6997.266771658803
D28F7QAG,4.321118637281467
D54J7ZC4,21.46197098939981
D5BPHY87,817.900208584253
D6TCSWWR,5.132785609198202
DIS2XCPI,20.097083866624438
E5HRBYHP,1.8805838260639776
E675XV2W,4978.14340598326
E6FMSYH2,5976.387509635413
E8CED4N3,1225.4208005572173
E9FLCYRK,61785.864342847344
ERBERDB6,2.4288435268959705
EYCHKICS,49.29413994857526
F6IX3QIF,396.7139975028553
F848E2UT,535.6591548656282
F9VIP5F7,0.337843875293534
FFRWPF9M,1.208280895918881
FW4KPDXH,275.834689271447
FYPPE3AR,54.35347607392835
G7RKHNSY,264.8749735102267
GD7U5PGI,156447.2431179448
GSL8VV32,12.386430221724115
HRXNERQE,494.0293110161569
I497FPR3,318.1062287841924
IFALXNZB,
ISESFWSP,6.6861449674750295
IWKSCW57,21821685.862896595
JPQS9JXB,9087.09110323008
JTUUBHR8,1.8839383639611242
K6I8E5QJ,475.8403361319345
K6MS44VU,83.69219210899857
KB29BMY8,3.6468768229953703
KR7QGQ96,11.979663001786822
KTXXTV3Y,303.9886448802146
L945V4QX,0.8689595788855159
LDJRWPWA,105.48151828823484
LHJ9M2T2,
LJ848PGR,3.8307812857168244
LNXI6UYT,318.1062287841924
LRT6Z88R,0.04135181408224559
LVY6ENEU,25.306924581753925
LYMM9UQZ,1.280930001465832
MDM8SQRY,1.9980126587542721
MJIMZDLP,46.59795984032935
MXPLNJFR,22.917274034633415
ND6RB5G9,8.376463022478784
NDDTRXM9,92.19512936843441
NP2PWBRU,1154.8969940137547
NQDIZDA2,12.237688806536807
NSVSN55R,
P6V87WN5,147.92383341183344
PB8P2UVG,2956.617085060478
PBSVU4ID,1292238.7505182289
PJ3SVQP3,4152.740727863647
PQ3Q9H6A,97025.48718410273
PTTQ9VGB,
PXC5ENIG,144714.5434618736
Q3DHRVLE,2.1650438344811866
Q45H8ZC2,287.88293819403754
QI38W8V2,124.58648373278812
QQMI8N9T,155.684626590396
QUZPQPWA,
R8LVYA8W,25.306924581753925
RBYR4QG6,2444.8161462257467
RCSSD3W5,93.95398141680545
RCZYWWZJ,1680.0899159036746
RDFY8VGI,4373.932346232594
RENZSNMD,54946.397207598886
RFLJ9CDM,39.94952122643674
RWU3ALN9,1094.570124553738
SPYHCGR7,32.629626247122
T9UHGZVR,32.35963827692847
TBSJTSKM,0.337843875293534
TH6B9CR4,0.26701939627244253
TPNA7T79,2309.488201713353
TTUA98S8,
U33K22B3,17.866851320704722
U3Q4U35X,738.534113707855
U5IZQNWE,0.11849444548806286
UA5FY4A8,1974.2234038796353
UFU92EAC,17916.82029049632
UHTXA8J6,2.912144471196043
UJKIFHZ9,46.89828660013115
UKJUNZNC,4700111.428587432
UKWG7DZS,33.444383031609
UUN2FYMP,5.417000118040882
UZ4K7DVA,11.397739433818494
V4UW2P8U,6.343893144177313
V5H2LDCV,3976.6163061016737
VAS8PQGQ,55.18774281385307
VPA8IRXJ,35.80217194735119
VZSHSDVT,5450.119899416906
WCZUHQVX,193358.72171694518
WIYIX4ZU,
WW4K3NXX,1154.8969940137547
XQDZXEBX,378730.44137650635
XYRENZKG,5.723030482333861
YW232UWW,334.43823926061526
Z32D9335,9.334365842412618
ZAYUVLZN,12.818026327385867
ZF5KTA9J,56.85380208476115
ZMXR5AJX,
ZP22ZXGG,102.79705639943398
ZVQJ9Z46,56.263454469045286
ZZ5TKXNF,2724141.2790071825
